,word,n
0,ability,8
1,new,8
2,experience,8
3,work,8
4,team,8
5,strong,7
6,product,7
7,support,7
8,learn,6
9,degree,6
10,include,6
11,skill,6
12,communication,6
13,analyze,5
14,plan,5
15,collaborate,5
16,project,5
17,develop,5
18,performance,5
19,industry,5
20,annual,5
21,field,5
22,effectively,5
23,pay,5
24,manage,5
25,start,5
26,test,5
27,ensure,5
28,strategy,5
29,data,5
30,understanding,5
31,flexible,5
32,year,5
33,competitive,5
34,discretionary,4
35,design,4
36,growth,4
37,k,4
38,environment,4
39,gemini,4
40,analysis,4
41,customer,4
42,company,4
43,relationship,4
44,equity,4
45,insight,4
46,related,4
47,salary,4
48,grant,4
49,health,4
50,leave,4
51,operation,4
52,excellent,4
53,longterm,4
54,across,4
55,improve,4
56,knowledge,4
57,identify,4
58,finance,4
59,trend,4
60,provide,4
61,datadriven,4
62,hire,4
63,maintain,4
64,match,4
65,policy,4
66,organization,4
67,management,4
68,parental,4
69,comprehensive,4
70,process,4
71,form,4
72,incentive,4
73,bonus,4
74,time,4
75,internal,3
76,within,3
77,meeting,3
78,service,3
79,completion,3
80,equivalent,3
81,looker,3
82,focus,3
83,transaction,3
84,opportunity,3
85,write,3
86,timely,3
87,relevant,3
88,current,3
89,leadership,3
90,requirement,3
91,optimize,3
92,etc,3
93,tableau,3
94,key,3
95,tool,3
96,familiarity,3
97,improvement,3
98,handson,3
99,marketing,3
100,similar,3
101,level,3
102,function,3
103,fastpaced,3
104,planning,3
105,interpersonal,3
106,complex,3
107,relate,3
108,responsibility,3
109,platform,3
110,activity,3
111,large,3
112,revenue,3
113,make,3
114,development,3
115,crossfunctional,3
116,need,3
117,execute,3
118,report,3
119,web,3
120,oversee,3
121,big,3
122,technical,3
123,lead,3
124,demonstrated,3
125,change,3
126,computer,3
127,undergraduate,3
128,dynamic,3
129,crypto,3
130,recommendation,3
131,analytical,3
132,track,3
133,account,3
134,analytics,3
135,financial,3
136,preferably,3
137,drive,3
138,science,3
139,external,3
140,communicate,3
141,economics,3
142,business,3
143,value,3
144,decision,3
145,excel,3
146,implement,3
147,loss,2
148,machine,2
149,willingness,2
150,preparation,2
151,successfully,2
152,us,2
153,use,2
154,risk,2
155,behavior,2
156,innovative,2
157,result,2
158,closely,2
159,system,2
160,reconciliation,2
161,accordance,2
162,regulatory,2
163,verbal,2
